timestamp,product_name,field,items_json
2026-04-15T15:37:56,کانتور,سازگار با نوع پوست,"[""معمولی"", ""مختلط"", ""خشک"", ""حساس"", ""چرب"", ""آکنه‌ای"", ""انواع پوست"", ""خشک و حساس"", ""چرب و مختلط""]"
2026-04-15T15:37:56,کانتور,جلوه رنگ,"[""مات"", ""براق"", ""مخملی"", ""نئونی""]"
2026-04-15T15:37:56,کانتور,نوع کانتور,"[""پالت"", ""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی""]"
2026-04-15T15:37:56,کانتور,کشور مبدا برند,"[""یونان"", ""ویتنام"", ""هند"", ""هلند"", ""نروژ"", ""مکزیک"", ""مالزی"", ""لوکسامبورگ"", ""لهستان"", ""لبنان"", ""کره جنوبی"", ""کانادا"", ""فیلیپین"", ""فنلاند"", ""فرانسه"", ""عمان"", ""سوئیس"", ""سوئد"", ""ژاپن"", ""روسیه"", ""چین"", ""جمهوری چک"", ""ترکیه"", ""تایوان"", ""پرتغال"", ""بلغارستان"", ""بلژیک"", ""بحرین"", ""آمریکا"", ""آلمان"", ""ایران"", ""اوکراین"", ""استرالیا"", ""آروبا"", ""ایرلند"", ""ایتالیا"", ""انگلستان"", ""اندونزی"", ""امارات"", ""اسلوونی"", ""اسپانیا"", ""اتریش"", ""اتحادیه اروپا"", ""تایلند"", ""برزیل""]"
2026-04-15T15:37:56,کانتور,نوع محفظه,"[""رولی"", ""تیوبی"", ""پمپی"", ""پالتی"", ""استوانه‌ای""]"
2026-04-15T15:37:56,کانتور,صادرکننده مجوز,"[""سازمان غذا و دارو""]"
2026-04-15T15:37:56,کانتور,کارایی محصول,"[""مقاوم در برابر نفوذ رطوبت"", ""لطافت‌بخش"", ""ضد‌حساسیت"", ""ضد چروک"", ""صاف کننده"", ""شفاف‌کننده"", ""شاداب‌کننده"", ""روزانه"", ""درمانی"", ""درخشان‌کننده"", ""بهبود حالت پذیری موها"", ""ضدالکتریسیته مو"", ""برطرف کننده وز مو""]"
2026-04-15T15:37:56,کانتور,مناسب برای رنگ پوست,"[""متوسط"", ""گندمی"", ""روشن"", ""تیره"", ""برنزه"", ""انوع پوست""]"
2026-04-15T15:37:56,کانتور,پوشانندگی,"[""کاور بالا"", ""کاور متوسط"", ""کاور سبک""]"
2026-04-15T15:40:54,هایلایتر,مشخصات محصول,"[""دارای رایحه"", ""حاوی SPF"", ""ضد التهاب"", ""ضد حساسیت"", ""بدون رایحه"", ""ضد آب"", ""بدون تست حیوانی"", ""پاک‌شدن آسان"", ""درخشان‌کننده"", ""تقویت‌کننده"", ""ضد آکنه"", ""روشن‌کننده"", ""ضد لک"", ""غیر کمدون‌زا"", ""بافت سبک"", ""قابلیت استفاده به صورت روزانه"", ""رطوبت‌رسان"", ""بدون سرب"", ""گیاهی"", ""حاوی رنگ‌دانه"", ""ترمیم‌کننده"", ""نرم‌کننده"", ""حجم‌دهنده""]"
2026-04-15T15:40:54,هایلایتر,سازگار با نوع پوست,"[""معمولی"", ""مختلط"", ""خشک"", ""حساس"", ""چرب"", ""آکنه‌ای"", ""انواع پوست"", ""خشک و حساس"", ""چرب و مختلط""]"
2026-04-15T15:40:54,هایلایتر,جلوه رنگ,"[""مات"", ""براق"", ""مخملی"", ""نئونی""]"
2026-04-15T15:40:54,هایلایتر,نوع هایلایتر,"[""پالت"", ""تک رنگ"", ""ماتیکی"", ""مایع"", ""مدادی""]"
2026-04-15T15:40:54,هایلایتر,تناژ رنگ,"[""طلایی"", ""نقره‌ای"", ""رزگلد"", ""برنزی"", ""صورتی"", ""صدفی""]"
2026-04-15T15:40:54,هایلایتر,کشور مبدا برند,"[""یونان"", ""ویتنام"", ""هند"", ""هلند"", ""نروژ"", ""مکزیک"", ""مالزی"", ""لوکسامبورگ"", ""لهستان"", ""لبنان"", ""کره جنوبی"", ""کانادا"", ""فیلیپین"", ""فنلاند"", ""فرانسه"", ""عمان"", ""سوئیس"", ""سوئد"", ""ژاپن"", ""روسیه"", ""چین"", ""جمهوری چک"", ""ترکیه"", ""تایوان"", ""پرتغال"", ""بلغارستان"", ""بلژیک"", ""بحرین"", ""آمریکا"", ""آلمان"", ""ایران"", ""اوکراین"", ""استرالیا"", ""آروبا"", ""ایرلند"", ""ایتالیا"", ""انگلستان"", ""اندونزی"", ""امارات"", ""اسلوونی"", ""اسپانیا"", ""اتریش"", ""اتحادیه اروپا"", ""تایلند"", ""برزیل""]"
2026-04-15T15:40:54,هایلایتر,صادرکننده مجوز,"[""سازمان غذا و دارو""]"
2026-04-15T15:40:54,هایلایتر,کارایی محصول,"[""مقاوم در برابر نفوذ رطوبت"", ""ماندگاری بالا"", ""مات‌کننده"", ""ضد آکنه"", ""روشن‌کننده"", ""روزانه"", ""پوشانندگی"", ""از بین برنده تیرگی و لکه""]"
2026-04-15T15:40:54,هایلایتر,مناسب برای رنگ پوست,"[""متوسط"", ""گندمی"", ""روشن"", ""تیره"", ""برنزه"", ""انوع پوست""]"
